Título	Autor	Editora	Ano	ISBN	Idioma	Capa	Páginas	Altura (cm)	Largura (cm)	Peso (g)	Estante	Preço R$	Frete R$	Total R$	Fotos
Administração De Marketing No Mundo Contemporâneo	Roberto Pessoa Madruga; Outros	FGV	2008	9788522504558	Português	Mole	140	21	14	203	Negócios	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Administração De Marketing No Mundo Contemporâneo, de Roberto Pessoa Madruga; Outros
Administração Financeira E Orçamentária - Questões Cespe	Marcio Ceccato Dalcomune	Elsevier	2015	9788535282061	Português	Mole	278	24	17	470	Didático	30	12.95	42.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Administração Financeira E Orçamentária - Questões Cespe, de Marcio Ceccato Dalcomune
Administração Financeira E Orçamentária - Questões FCC	Marcio Ceccato Dalcomune	Elsevier	2015	9788535282078	Português	Mole	248	24	17	426	Didático	50	12.20	62.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Administração Financeira E Orçamentária - Questões FCC, de Marcio Ceccato Dalcomune
Adolescentes: Quem Ama, Educa!	Içami Tiba	Integrare	2005	9788599362013	Português	Mole	304	21	14	378	Pedagogia	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Adolescentes: Quem Ama, Educa!, de Içami Tiba
Adoráveis Vigaristas	Ganymédes José; Marco Aragao	Atual	1991	9788570563330	Português	Mole	106	21	14	166	Juvenil	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Adoráveis Vigaristas, de Ganymédes José; Marco Aragao
Afetividade E Limites	Edileide Castro	WAK	2011	9788578541293	Português	Mole	116	21	14	178	Pedagogia	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Afetividade E Limites, de Edileide Castro
Aforismos Para A Sabedoria De Vida	Schopenhauer	Folha de S. Paulo	2015	9788581932446	Português	Dura	192	24	16	422	Filosofia	15	12.20	27.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Aforismos Para A Sabedoria De Vida, de Schopenhauer
Agora E Sempre	Danielle Steel	Record	1978	ND	Português	Mole	358	21	14	413	Literatura Estrangeira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Agora E Sempre, de Danielle Steel
Ainda Lembro	Jean Wyllys	Globo	2005	9788525040329	Português	Mole	202	21	14	200	Literatura Brasileira	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Ainda Lembro, de Jean Wyllys
Além Da Maternidade: Optando Por Uma Vida Sem Filhos	Jeanne Safer	Mandarim	1997	9788535400236	Português	Mole	202	21	14	268	Psicologia	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Além Da Maternidade: Optando Por Uma Vida Sem Filhos, de Jeanne Safer
Alfabetização Emocional	Celso Antunes	Terra	1997	9788585741136	Português	Mole	110	23	16	225	Pedagogia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Alfabetização Emocional, de Celso Antunes
Alfarrabios; O Garatuja; O Ermitão Da Glória; Outros	José de Alencar	Formar	1971	ND	Português	Dura	278	22	15	566	Literatura Brasileira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Alfarrabios; O Garatuja; O Ermitão Da Glória; Outros, de José de Alencar
Alfeu, O Ursinho Que Não Sabia Nadar	David Bedford; Karen Sapp	Zastras	2010	9788521315599	Português	Dura	24	28	26	470	Infantil	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Alfeu, O Ursinho Que Não Sabia Nadar, de David Bedford; Karen Sapp
Alguma Coisa Invisível	Siobhan Parkinson	Nova Fronteira	2006	9788520919446	Português	Mole	154	21	14	215	Juvenil	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Alguma Coisa Invisível, de Siobhan Parkinson
Alô, Chics! Etiqueta Contemporânea	Gloria Kalil	Ediouro	2007	9788579550263	Português	Mole	222	23	16	431	Autoajuda	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Alô, Chics! Etiqueta Contemporânea, de Gloria Kalil
Amadora	Ana Ferreira	Geração Editorial	2001	9788575090183	Português	Mole	150	21	14	260	Literatura Brasileira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Amadora, de Ana Ferreira
Amando Uns Aos Outros	Leo Buscaglia	Record	1984	9788501031402	Português	Mole	210	21	14	270	Autoajuda	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Amando Uns Aos Outros, de Leo Buscaglia
Amantes No Paraíso	Barbara Cartland	Abril	1980	ND	Português	Mole	128	19	13	119	Literatura Estrangeira	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Amantes No Paraíso, de Barbara Cartland
Amar Pode Dar Certo	Roberto T. Shinyashiki; Eliana Bittencourt Dumet	Gente	1988	9788585247027	Português	Mole	156	21	14	210	Autoajuda	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Amar Pode Dar Certo, de Roberto T. Shinyashiki; Eliana Bittencourt Dumet
América Latina, A Imagem De Um Continente	Maria Nazareth Ferreira	Celacc	ND	ND	Português	Mole	214	21	14	261	História	30	10.00	40.00	https://wa.me/5511981350566?text=Oi! Quero fotos do América Latina, A Imagem De Um Continente, de Maria Nazareth Ferreira
American Folklore	Tristam Coffin III	Forum Lectures	1974	ND	Inglês	Mole	326	21	14	411	História	50	12.20	62.20	https://wa.me/5511981350566?text=Oi! Quero fotos do American Folklore, de Tristam Coffin III
American Gigolo	Timothy Harris	Delacorte Press	1979	ND	Inglês	Dura	180	21	15	309	Literatura Estrangeira	40	10.65	50.65	https://wa.me/5511981350566?text=Oi! Quero fotos do American Gigolo, de Timothy Harris
Amor De Perdição	Camilo Castelo Branco	Ática	1969	ND	Português	Mole	144	20	14	183	Literatura Estrangeira	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Amor De Perdição, de Camilo Castelo Branco
Amor De Provação	Richard Simonetti	CEAC	2016	9788582790298	Português	Mole	256	21	14	330	Romance Espírita	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Amor De Provação, de Richard Simonetti
Amor De Verão	Diana Morgan	Globo	1983	ND	Português	Mole	144	19	12	117	Literatura Estrangeira	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Amor De Verão, de Diana Morgan
Amor Nunca É Demais	Helen Van Slyke	Nova Cultural	1986	ND	Português	Mole	510	19	12	394	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Amor Nunca É Demais, de Helen Van Slyke
Amores Perfeitos	José Ângelo Gaiarsa	Gente	1994	9788585247942	Português	Mole	248	21	14	316	Autoajuda	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Amores Perfeitos, de José Ângelo Gaiarsa
Amsterdam Eyewitness Travel	DK	Dk	2007	9781465471574	Inglês	Dura	312	22	13	535	Turismo	20	13.50	33.50	https://wa.me/5511981350566?text=Oi! Quero fotos do Amsterdam Eyewitness Travel, de DK
Analysis For Marketing Planning	Donald R. Lehmann; Russell S. Winer	Irwin	1994	9780256122763	Inglês	Mole	198	23	16	340	Negócios	40	10.65	50.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Analysis For Marketing Planning, de Donald R. Lehmann; Russell S. Winer
Anfíbios Anuros Em Áreas De Floresta Plantada No Vale Do Paraíba	Marcos Yamamoto; Jaime Bertoluci	3i	2013	9788566115147	Português	Mole	136	21	15	300	Biologia	100	10.00	110.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Anfíbios Anuros Em Áreas De Floresta Plantada No Vale Do Paraíba, de Marcos Yamamoto; Jaime Bertoluci
Animores, Animales Y Amores	Celso Román	Libros & Libros	2009	9789587240009	Espanhol	Mole	96	20	13	140	Infantil	40	7.80	47.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Animores, Animales Y Amores, de Celso Román
Anjos Cabalísticos	Monica Buonfiglio	Oficina Cultural Esoterica	ND	ND	Português	Mole	168	16	14	213	Religião	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Anjos Cabalísticos, de Monica Buonfiglio
Anjos Da Rua	Márcio Câmara	Abyara	ND	ND	Português	Mole	112	21	14	172	Biografias	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Anjos Da Rua, de Márcio Câmara
Anjos: Mensageiros Da Luz	Terry Lynn Taylor	Círculo do Livro	1995	9788533205161	Português	Mole	246	13	21	394	Religião	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Anjos: Mensageiros Da Luz, de Terry Lynn Taylor
Anônimo	Lazarillo de Tormes	Santillana	1994	9788429436143	Espanhol	Mole	88	19	12	119	Literatura Estrangeira	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Anônimo, de Lazarillo de Tormes
Ao Meu Amor	Suzan Lemos	DLC	2005	9788536800066	Português	Dura	56	16	16	205	Fotografia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Ao Meu Amor, de Suzan Lemos
Apenas Mágoas	Sally Quinn	BestSeller	1988	9788585091927	Português	Mole	626	21	14	570	Literatura Estrangeira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Apenas Mágoas, de Sally Quinn
Aprendizagem A Distância	Fredric M. Litto; Paulo Caruso	Imprensa Oficial SP	2010	9788570608758	Português	Mole	96	26	20	375	Pedagogia	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Aprendizagem A Distância, de Fredric M. Litto; Paulo Caruso
Arlequim	Morris West	Record	1974	ND	Português	Mole	288	21	14	330	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Arlequim, de Morris West
Arte Brasileira Contemporânea, Primavera 2000	Off Gallery	Julio Louzada Publicações	2000	9788573371314	Português	Dura	128	30	23	715	Artes	10	16.00	26.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Arte Brasileira Contemporânea, Primavera 2000, de Off Gallery
Arte De Fazer Macarons	Janaína Suconic	Lafonte	2011	9788564264557	Português	Mole	142	22	23	497	Gastronomia	15	12.95	27.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Arte De Fazer Macarons, de Janaína Suconic
Arte De Selecionar Talentos	Benedito Rodrigues Pontes	DVS	2005	9788588329232	Português	Mole	110	23	16	219	Negócios	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Arte De Selecionar Talentos, de Benedito Rodrigues Pontes
As 50 Melhores Crônicas Do Ler É Bom, Experimente!	Laé De Souza	Ecoarte	2010	9788587588104	Português	Mole	96	21	14	180	Literatura Brasileira	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do As 50 Melhores Crônicas Do Ler É Bom, Experimente!, de Laé De Souza
As Amigas E As Sombras	Augusto Magalhaes; Nery Paterno	Scipione	1992	9788526215382	Português	Mole	32	22	19	124	Juvenil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do As Amigas E As Sombras, de Augusto Magalhaes; Nery Paterno
As Areias Do Tempo	Sidney Sheldon	Record	1993	9788501034120	Português	Mole	374	21	14	444	Literatura Estrangeira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do As Areias Do Tempo, de Sidney Sheldon
As Aventuras De Briny E Spify No Planeta Terra	Eunice Garcia; Monica C. Garcia	Adonis	2005	9788587645296	Português	Mole	32	30	21	160	Infantil	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do As Aventuras De Briny E Spify No Planeta Terra, de Eunice Garcia; Monica C. Garcia
As Aventuras De Juliana Baltar	Juliana Baltar	Única	2016	9788567028934	Português	Mole	128	20	13	210	Juvenil	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do As Aventuras De Juliana Baltar, de Juliana Baltar
As Brumas De Avalon, O Gamo Rei, Vol. 3	Marion Zimmer Bradley	Imago	1989	9788531200571	Português	Mole	246	21	14	308	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do As Brumas De Avalon, O Gamo Rei, Vol. 3, de Marion Zimmer Bradley
As Brumas De Avalon, O Prisioneiro Da Árvore, Vol. 4	Marion Zimmer Bradley	Nova Cultural	1982	ND	Português	Mole	298	19	12	241	Literatura Estrangeira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do As Brumas De Avalon, O Prisioneiro Da Árvore, Vol. 4, de Marion Zimmer Bradley
As Brumas De Avalon, O Prisioneiro Da Árvore, Vol. 4	Marion Zimmer Bradley	Imago	1989	9788531200588	Português	Mole	278	20	14	336	Literatura Estrangeira	15	10.65	25.65	https://wa.me/5511981350566?text=Oi! Quero fotos do As Brumas De Avalon, O Prisioneiro Da Árvore, Vol. 4, de Marion Zimmer Bradley
As Causas Da Pobreza	Simon Schwartzman	FGV	2004	9788522504626	Português	Mole	208	23	16	338	Sociologia	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do As Causas Da Pobreza, de Simon Schwartzman
As Chaves Do Reino: Seguindo Os Passos De Anchieta	L. Palhano Júnior	Lachâtre	2000	9788582910504	Português	Mole	192	22	15	275	Literatura Estrangeira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do As Chaves Do Reino: Seguindo Os Passos De Anchieta, de L. Palhano Júnior
As Garotas Do Olimpo: Lágrimas De Cristal	Elena Kedros	Fundamento	2011	9788539501632	Português	Mole	208	23	16	390	Juvenil	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do As Garotas Do Olimpo: Lágrimas De Cristal, de Elena Kedros
As Margens Do Sena	Reali Jr	Ediouro	2007	9788500019654	Português	Mole	320	23	16	453	Biografias	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do As Margens Do Sena, de Reali Jr
As Minas De Prata	José de Alencar	Formar	1971	ND	Português	Dura	510	22	15	851	Literatura Brasileira	10	18.10	28.10	https://wa.me/5511981350566?text=Oi! Quero fotos do As Minas De Prata, de José de Alencar
As Pupilas Do Senhor Reitor - Tomo 1	Júlio Diniz	LDA	1988	ND	Português	Mole	96	18	13	88	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do As Pupilas Do Senhor Reitor - Tomo 1, de Júlio Diniz
As Pupilas Do Senhor Reitor - Tomo 2	Júlio Diniz	LDA	1988	ND	Português	Mole	96	18	13	90	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do As Pupilas Do Senhor Reitor - Tomo 2, de Júlio Diniz
As Troianas: Adaptado De Eurípedes	Jean-Paul Sartre	Difusão	1966	ND	Português	Mole	132	20	13	163	Filosofia	60	8.55	68.55	https://wa.me/5511981350566?text=Oi! Quero fotos do As Troianas: Adaptado De Eurípedes, de Jean-Paul Sartre
As Valkírias	Paulo Coelho	Rocco	1992	9788532501196	Português	Mole	240	21	14	306	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do As Valkírias, de Paulo Coelho
Asas	Sandra Lya	All Print	2009	9788577183746	Português	Mole	144	21	14	210	Poesia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Asas, de Sandra Lya
Assassinos	Philippe Djian	Scritta	1995	9788573200126	Português	Mole	210	20	13	240	Literatura Estrangeira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Assassinos, de Philippe Djian
Assim Se Concretiza O Bem	Seicho Taniguchi	Seicho-no-ie	2007	9788571562790	Português	Mole	336	21	14	407	Religião	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Assim Se Concretiza O Bem, de Seicho Taniguchi
Astro-Signos Câncer	Laurène Petit	Todolivro	1997	9788573890853	Português	Mole	64	18	10	90	Autoajuda	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Astro-Signos Câncer, de Laurène Petit
Ateliê Fidalga: 55 Artistas	Dardo	Dardo	2009	9788492772018	Português	Mole	156	24	17	582	Artes	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Ateliê Fidalga: 55 Artistas, de Dardo
Atirei O Pau No Gato: A Pré-Escola Em Serviço	Marilia Amorim	Brasiliense	1994	9788511120387	Português	Mole	116	21	14	167	Pedagogia	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Atirei O Pau No Gato: A Pré-Escola Em Serviço, de Marilia Amorim
Atlas Ilustrado Da Civilização Judaica	Josephine Bacon	Dinalivro	2003	9789725762462	Português	Dura	224	30	23	1242	História	70	25.45	95.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Atlas Ilustrado Da Civilização Judaica, de Josephine Bacon
Atol Das Rocas	Luciano Candisani	DBA	2002	9788572342643	Português	Dura	144	29	29	1417	Fotografia	10	25.45	35.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Atol Das Rocas, de Luciano Candisani
Atos De Amor	Elia Kazan	Nova Cultural	1986	ND	Português	Mole	446	19	12	350	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Atos De Amor, de Elia Kazan
Através Do Arco-Íris	Sandra Hassmann	Esoterica	ND	ND	Português	Mole	132	21	14	174	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Através Do Arco-Íris, de Sandra Hassmann
Audrey's Door	Sarah Langan	Harper	2009	9780061624216	Inglês	Mole	412	17	10	210	Literatura Estrangeira	30	9.20	39.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Audrey's Door, de Sarah Langan
Auschwitz: The Residence Of Death	Adam Bujak; Teresa Swiebocki; Henry Swiebock	Biaty Kruk	2003	9788388918261	Inglês	Dura	128	30	24	1081	Fotografia	50	25.45	75.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Auschwitz: The Residence Of Death, de Adam Bujak; Teresa Swiebocki; Henry Swiebock
Australia	Jennifer Gascoigne	Macmillan	2021	9781380040985	Inglês	Mole	104	21	15	193	Turismo	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Australia, de Jennifer Gascoigne
Autoengano	Eduardo Giannetti	Companhia das Letras	2006	9788571647251	Português	Mole	272	21	14	414	Psicologia	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Autoengano, de Eduardo Giannetti
Automóvel	Arthur Hailey	Círculo do Livro	1971	ND	Português	Dura	488	20	13	552	Literatura Estrangeira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do Automóvel, de Arthur Hailey
Aventuras De Alvinho: A Coisa	Ruth Rocha; Claudio Martins	FTD	1997	9788532217578	Português	Mole	26	20	20	80	Infantil	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Aventuras De Alvinho: A Coisa, de Ruth Rocha; Claudio Martins
Awakened	P. C. Cast / Kristin Cast	St Margins	2011	9780312650247	Inglês	Dura	290	22	15	420	Literatura Estrangeira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Awakened, de P. C. Cast / Kristin Cast
Ayelén Y Los Conejos De Colores	Jorge Antonio Garcia Perez	Progreso Editorial	2007	9789706418197	Espanhol	Mole	96	20	13	150	Infantil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Ayelén Y Los Conejos De Colores, de Jorge Antonio Garcia Perez
Babbitt	Sinclair Lewis	Globo	1950	ND	Português	Mole	447	17	10	295	Literatura Estrangeira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Babbitt, de Sinclair Lewis
Baby Guide	Bbd	Bbd	2008	9788560600014	Português	Dura	352	30	24	201	Autoajuda	15	9.20	24.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Baby Guide, de Bbd
Backyardigans: Náufragos!	Alison Inches; Leslie Valdes; Warner Mcgee	Fundamento	2007	9788576762201	Português	Mole	26	23	16	107	Infantil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Backyardigans: Náufragos!, de Alison Inches; Leslie Valdes; Warner Mcgee
Bala Na Agulha	Marcelo Rubens Paiva	Siciliano	1992	9788526705241	Português	Mole	204	21	14	230	Literatura Brasileira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Bala Na Agulha, de Marcelo Rubens Paiva
Balls: How To Keep Your Relationship Alive...	Ernestine Selafani Bayless; Skip Bayless	Sourced Media Books	2019	9781945431142	Inglês	Mole	134	23	15	250	Autoajuda	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Balls: How To Keep Your Relationship Alive..., de Ernestine Selafani Bayless; Skip Bayless
